origin,date,deal_id,salesforce_crm_id,currency,deal_name,name_source,business_line,brand,agency_group_name,agency,dsp,seat_id,country_served,country_sold,owner,am_csm,inventory_type,gross_revenue,pub_cost,curator_margin_total,curator_margin_stx,curator_margin_curator,margin,requests,bids,wins,impressions,sf_product_lines,pct_of_qtd
BFM,2026-08-22,251829334263,,USD,Adtelligent Sensitive Categories Deal - Gambling - CTV,Beachfront,DSP Marketplace,instacart.com/oak-farms-dairy,Beachfront Deal Curation,Beachfront Deal Curation,Adtelligent,FreeWheel,,,,,CTV,0.01,0.01,,,,0.0,1,55,85,1,,0.0
BFM,2026-08-24,445972645214,,USD,Viant Deal - CTV - Spanish Political CTV,Beachfront,DSP Marketplace,trustpalmdalekia.com,Beachfront Deal Curation,Beachfront Deal Curation,Viant,3333,,,,,CTV,0.01,0.01,,,,0.0,8,8,8,1,,0.0
BFM,2026-08-21,461410362718,,USD,DeepIntent - CTV - Sports (genre),Beachfront,DSP Marketplace,rexulti.com,Beachfront Deal Curation,Beachfront Deal Curation,DeepIntent,11074,,,,,CTV,0.01,0.01,,,,0.0,4,4,4,1,,0.0
BFM,2026-08-21,MH35,,USD,MadHive - CTV - Xumo (Price Targeted),Beachfront,DSP Marketplace,luna.house.gov,BFM Internal,BFM Internal,MadHive,Unified,,,,,CTV,0.01,0.01,,,,0.0,8,8,8,1,,0.0
BFM,2026-08-22,666682540156,,USD,Adtelligent Sensitive Category Deal - Nicotine - CTV,Beachfront,DSP Marketplace,amfam.com,Beachfront Deal Curation,Beachfront Deal Curation,Adtelligent,FreeWheel,,,,,CTV,0.01,0.01,,,,0.0,2,50,50,1,,0.0
BFM,2026-08-24,666682540156,,USD,Adtelligent Sensitive Category Deal - Nicotine - CTV,Beachfront,DSP Marketplace,meningitis.com,Beachfront Deal Curation,Beachfront Deal Curation,Adtelligent,FreeWheel,,,,,CTV,0.01,0.01,,,,0.0,6,45,45,1,,0.0
STX,2026-08-24,NEUROX-050826-bbLQhf,268663,USD,"RTB - CTV - Sports Fans, Live Sports, Major Tournaments (Wimbledon, US Open, Tour de France, Form",Seedtag,Curation 3rd Party,,Multilocal - Curator - East US,Multilocal - Curator,RtbHouse,,,United States,Caroline Cheung,,Web,0.01,0.01,0.0,0.0,0.0,-0.0,35133265,9,7,1,1,0.0
BFM,2026-08-25,Beach265,,USD,SmartyAds - Local Sports Deal,Beachfront,DSP Marketplace,tiktok.com,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,10901,,,,,CTV,0.01,0.01,,,,0.0,1,1,1,1,,0.0
STX,2026-08-25,NEUROX-250826-seu8Cd,,EUR,Seedtag NeuroX | Always-On | Foodies & Culinary Creators - Connected TV,Seedtag,DSP Marketplace,,,,,,,,,,,0.01,0.01,0.0,,,-0.0,64436183,14,13,2,,0.0
BFM,2026-08-22,Beach143,,USD,MLB Live Supply - GroundTruth,Beachfront,DSP Marketplace,thegiantcompany.com,Beachfront Deal Curation,Beachfront Deal Curation,GroundTruth,0,,,,,CTV,0.01,0.01,,,,0.0,30,30,30,1,,0.0
BFM,2026-08-22,824105210563,,USD,SmartyAds Deal - Q1 Tentpole - Winter Olympics - Contextual CTV,Beachfront,DSP Marketplace,sabal-group.com,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,7218,,,,,CTV,0.01,0.01,,,,0.0,1,1,1,1,,0.0
BFM,2026-08-23,PMGCuratedCTV,,USD,Yahoo - Curated CTV,Beachfront,Curation 3rd Party,carlsjr.com,Camelot,Camelot,Yahoo,8,,,,,CTV,0.01,0.01,,,,0.0,32,32,34,1,,0.0
STX,2026-08-26,BFM021,,EUR,Basis Deal - CTV Genre - Sports,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,0.01,0.01,0.0,,,-0.0,17255645,1,1,1,,0.0
BFM,2026-08-23,824105210563,,USD,SmartyAds Deal - Q1 Tentpole - Winter Olympics - Contextual CTV,Beachfront,DSP Marketplace,sabal-group.com,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,7218,,,,,CTV,0.01,0.01,,,,0.0,2,2,2,1,,0.0
BFM,2026-08-21,BFM109,,USD,Basis - CTV - Political Local News,Beachfront,DSP Marketplace,wisconsin.gov,Beachfront Deal Migration,Beachfront Deal Migration,Basis Technologies,114251,,,,,CTV,0.01,0.01,,,,0.0,5,7,7,2,,0.0
BFM,2026-08-24,Beach257,,USD,SmartyAds - Summer Holidays & Travel - 2026 Deal,Beachfront,DSP Marketplace,newpub.co,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,10755,,,,,CTV,0.01,0.01,,,,0.0,3,3,3,3,,0.0
BFM,2026-08-23,824105210563,,USD,SmartyAds Deal - Q1 Tentpole - Winter Olympics - Contextual CTV,Beachfront,DSP Marketplace,rellgo.net,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,6704,,,,,CTV,0.01,0.01,,,,0.0,8,9,9,6,,0.0
BFM,2026-08-23,Beach258,,USD,SmartyAds - Memorial Day - 2026 Deal,Beachfront,DSP Marketplace,newpub.co,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,10755,,,,,CTV,0.01,0.01,,,,0.0,7,8,8,5,,0.0
BFM,2026-08-22,Beach257,,USD,SmartyAds - Summer Holidays & Travel - 2026 Deal,Beachfront,DSP Marketplace,usa.gov,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,6723,,,,,CTV,0.01,0.01,,,,0.0,5,7,7,1,,0.0
BFM,2026-08-25,848047441598,,USD,MadHive Deal - CTV - Vizio - No Content Data,Beachfront,DSP Marketplace,mediwound.com,BFM Internal,BFM Internal,MadHive,Unified,,,,,CTV,0.01,0.01,,,,0.0,1,1,1,1,,0.0
BFM,2026-08-24,251829334263,,USD,Adtelligent Sensitive Categories Deal - Gambling - CTV,Beachfront,DSP Marketplace,moneygram.com,Beachfront Deal Curation,Beachfront Deal Curation,Adtelligent,10,,,,,CTV,0.01,0.01,,,,0.0,2,127,167,1,,0.0
BFM,2026-08-22,203052116747,,USD,Stirista Deal - App/Web [Display] (No Games),Beachfront,DSP Marketplace,advancial.org,Beachfront Deal Curation,Beachfront Deal Curation,stirista,337,,,,,Web,0.01,0.01,,,,0.0,10,10,10,3,,0.0
BFM,2026-08-25,STNXCTV027,,USD,Seedtag NeuroX | Always-On | Health & Wellness Food Advocates - Connected TV,Beachfront,DSP Marketplace,airportappliance.com,Beachfront Deal Curation,Beachfront Deal Curation,Bidswitch,16,,,,,CTV,0.01,0.0,,,,0.01,279,281,287,1,,0.0
STX,2026-08-24,NEUROX-180826-IzNYIJ,270975,USD,NeuroX | Always-On | On Demand TV Streaming Audiences CTV,Seedtag,Curation 3rd Party,,Multilocal - Curator - East US,Multilocal - Curator,Internal - Seedtag Marketplace,,,United States,Caroline Cheung,,Web,0.01,0.01,0.0,0.0,0.0,0.0,2478520074,105,76,2,1,0.0
BFM,2026-08-21,Beach258,,USD,SmartyAds - Memorial Day - 2026 Deal,Beachfront,DSP Marketplace,,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,8784,,,,,CTV,0.01,0.01,,,,0.0,1,1,1,1,,0.0
BFM,2026-08-24,Beach264,,USD,SmartyAds - World Health Day - 2026 Deal,Beachfront,DSP Marketplace,sabal-group.com,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,7894,,,,,CTV,0.01,0.01,,,,0.0,1,1,1,1,,0.0
BFM,2026-08-25,254822275978,,USD,SmartyAds Deal - CTV (Holiday-Shopping),Beachfront,DSP Marketplace,sabal-group.com,,,Smarty Ads,7894,,,,,CTV,0.01,0.01,,,,0.0,2,2,2,1,,0.0
BFM,2026-08-25,047174670018,,USD,Adtelligent Sensitive Categories Deal - Alcohol - CTV,Beachfront,DSP Marketplace,moneygram.com,Beachfront Deal Curation,Beachfront Deal Curation,Adtelligent,10,,,,,CTV,0.01,0.01,,,,0.0,2,86,98,1,,0.0
BFM,2026-08-23,Beach256,,USD,SmartyAds - Sport Racing - 2026 Deal,Beachfront,DSP Marketplace,usa.gov,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,6723,,,,,CTV,0.01,0.01,,,,0.0,14,17,19,1,,0.0
BFM,2026-08-25,Beach260,,USD,SmartyAds - Juneteenth - 2026 Deal,Beachfront,DSP Marketplace,newpub.co,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,10755,,,,,CTV,0.01,0.0,,,,0.01,1,1,1,1,,0.0
BFM,2026-08-22,824105210563,,USD,SmartyAds Deal - Q1 Tentpole - Winter Olympics - Contextual CTV,Beachfront,DSP Marketplace,grandfortunegame.com,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,9797,,,,,CTV,0.01,0.01,,,,0.0,3,5,5,1,,0.0
BFM,2026-08-24,254822275978,,USD,SmartyAds Deal - CTV (Holiday-Shopping),Beachfront,DSP Marketplace,apps.apple.com,,,Smarty Ads,10755,,,,,CTV,0.01,0.0,,,,0.01,1,1,1,1,,0.0
BFM,2026-08-24,203052116747,,USD,Stirista Deal - App/Web [Display] (No Games),Beachfront,DSP Marketplace,cricketwireless.com,Beachfront Deal Curation,Beachfront Deal Curation,stirista,502,,,,,Web,0.01,0.01,,,,0.0,12,12,12,5,,0.0
BFM,2026-08-21,461410362718,,USD,DeepIntent - CTV - Sports (genre),Beachfront,DSP Marketplace,rexulti.com,Beachfront Deal Curation,Beachfront Deal Curation,DeepIntent,11606,,,,,CTV,0.01,0.01,,,,0.0,2,2,2,1,,0.0
BFM,2026-08-21,BFM012,,USD,Basis Deal - Premium CTV,Beachfront,DSP Marketplace,metalsupermarkets.com,BFM Internal,BFM Internal,Basis Technologies,114390,,,,,CTV,0.01,0.01,,,,0.0,1,1,1,1,,0.0
BFM,2026-08-22,203052116747,,USD,Stirista Deal - App/Web [Display] (No Games),Beachfront,DSP Marketplace,cricketwireless.com,Beachfront Deal Curation,Beachfront Deal Curation,stirista,502,,,,,Web,0.01,0.01,,,,0.0,14,14,14,4,,0.0
BFM,2026-08-21,203052116747,,USD,Stirista Deal - App/Web [Display] (No Games),Beachfront,DSP Marketplace,cricketwireless.com,Beachfront Deal Curation,Beachfront Deal Curation,stirista,502,,,,,Web,0.01,0.01,,,,0.0,14,14,14,2,,0.0
STX,2026-08-26,NEUROX-180826-Vo75Ml,270971,USD,"NeuroX | Always-On | US Sports Fans, NBA, MLB, NFL & March Madness CTV",Seedtag,Curation 3rd Party,,Multilocal - Curator - East US,Multilocal - Curator,Internal - Seedtag Marketplace,,,United States,Caroline Cheung,,Web,0.01,0.01,0.0,0.0,0.0,0.0,204042049,9,5,2,1,0.0
BFM,2026-08-23,MH33,,USD,MadHive - CTV - Philo Bundle Override (Price Targeted),Beachfront,DSP Marketplace,thomasmore.edu,BFM Internal,BFM Internal,MadHive,Unified,,,,,CTV,0.01,0.01,,,,0.0,12,12,12,2,,0.0
BFM,2026-08-23,251829334263,,USD,Adtelligent Sensitive Categories Deal - Gambling - CTV,Beachfront,DSP Marketplace,tonies.com,Beachfront Deal Curation,Beachfront Deal Curation,Adtelligent,1266945588,,,,,CTV,0.01,0.01,,,,0.0,1,1,1,1,,0.0
BFM,2026-08-23,918860075162,,USD,Viant Deal - CTV - Content Object Removed,Beachfront,DSP Marketplace,ahn.org,Beachfront Deal Migration,Beachfront Deal Migration,Viant,3031,,,,,CTV,0.01,0.01,,,,0.0,2,2,2,1,,0.0
BFM,2026-08-25,Beach254,,USD,SmartyAds - Sport Basketball - 2026 Deal,Beachfront,DSP Marketplace,sabal-group.com,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,6723,,,,,CTV,0.01,0.01,,,,0.0,2,2,2,1,,0.0
BFM,2026-08-22,298578719382,,USD,Stirista Deal - DV - CTV RON,Beachfront,DSP Marketplace,doc2doclending.com,Beachfront Deal Curation,Beachfront Deal Curation,stirista,434,,,,,CTV,0.01,0.01,,,,0.0,14,14,14,1,,0.0
STX,2026-08-27,NEUROX-160726-YKT2Ta,263422,EUR,ES_SEEDTAG_Jakala_BarceloHotel_US_Display_Travel-fin-news_Desk_DV360_160726,Seedtag,Curation Agency,Various,Jakala - Independent - Spain,Jakala,DV360,1652931,United States,Spain,Cristina Rodriguez,Cristina Rodriguez,Web,0.01,0.0,0.0,0.0,0.0,0.01,33653258,96,48,2,1,0.0
STX,2026-08-24,NEUROX-180826-eGd2TR,270980,USD,"NeuroX | Always-On | Pharma, Healthcare & Medicine CTV",Seedtag,Curation 3rd Party,,Multilocal - Curator - East US,Multilocal - Curator,Internal - Seedtag Marketplace,,,United States,Caroline Cheung,,Web,0.01,0.01,0.0,0.0,0.0,0.0,5769053,2,1,1,1,0.0
BFM,2026-08-25,MH37,,USD,MadHive - CTV - Plex (Price Targeted),Beachfront,DSP Marketplace,jbyrneagency.com,BFM Internal,BFM Internal,MadHive,Unified,,,,,CTV,0.01,0.01,,,,0.0,8,28,40,1,,0.0
BFM,2026-08-25,Beach258,,USD,SmartyAds - Memorial Day - 2026 Deal,Beachfront,DSP Marketplace,sabal-group.com,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,7218,,,,,CTV,0.01,0.01,,,,0.0,1,1,1,1,,0.0
BFM,2026-08-25,Beach271,,USD,SmartyAds - 70%+ viewability Deal,Beachfront,DSP Marketplace,a4alticeadvertising.com,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,6723,,,,,CTV,0.01,0.01,,,,0.0,3,3,3,1,,0.0
BFM,2026-08-23,Beach206,,USD,SmartyAds Bravo Deals - CTV,Beachfront,DSP Marketplace,newpub.co,Beachfront Deal Curation,Beachfront Deal Curation,Smarty Ads,10755,,,,,CTV,0.01,0.01,,,,0.0,3,3,3,3,,0.0
STX,2026-08-22,442298650382,,EUR,DeepIntent - CTV - Health and Wellness RON,Seedtag,DSP marketplace - Migrated,,,,,,,,,,,0.01,0.01,0.0,,,0.0,1648715,4,2,1,,0.0
BFM,2026-08-24,PMGPub,,USD,PMG - Pub Targeting,Beachfront,Curation 3rd Party,carlsjr.com,Camelot,Camelot,Yahoo,8,,,,,CTV,0.01,0.01,,,,0.0,21,21,21,2,,0.0
BFM,2026-08-22,MH42,,USD,MadHive - CTV -  CBS Bundle Override (Price Targeted),Beachfront,DSP Marketplace,dot.alaska.gov,BFM Internal,BFM Internal,MadHive,Unified,,,,,CTV,0.01,0.01,,,,0.0,6,6,6,1,,0.0
STX,2026-08-22,NEUROX-160726-YKT2Ta,263422,EUR,ES_SEEDTAG_Jakala_BarceloHotel_US_Display_Travel-fin-news_Desk_DV360_160726,Seedtag,Curation Agency,Various,Jakala - Independent - Spain,Jakala,DV360,1652931,United States,Spain,Cristina Rodriguez,Cristina Rodriguez,Web,0.01,0.0,0.0,0.0,0.0,0.01,20224439,65,39,2,1,0.0
STX,2026-08-26,NEUROX-180826-yF6SxS,271026,USD,"NeuroX | Always-On | Live Sports, In-Game Content, Sports Streaming & Sports Fans CTV",Seedtag,Curation 3rd Party,,Multilocal - Curator - East US,Multilocal - Curator,Internal - Seedtag Marketplace,,,United States,Caroline Cheung,,Web,0.01,0.01,0.0,0.0,0.0,0.0,60789273,2,2,2,1,0.0
